,_index_,eventID,eventTime,userIdentityaccountId,eventSource,eventName,sourceIPAddress,userAgent,userIdentitytype,apiVersion,userIdentityprincipalId,userIdentityarn,userIdentityaccessKeyId,userIdentitysessionContextsessionIssueruserName,errorCode,errorMessage,ae_anomaly_score,ts_anomaly,tlsDetailsclientProvidedHostHeader,event_dt
0,0,0,2021-10-01T04:35:13Z,Account-123456789,lopez-byrd.info,CreateDBInstance,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,0238b837-f2b4-4818-b599-64206feeccd6,arn:aws:de21f8fd-640f-4c69-b765-804df282af9d,,role-g,success,,1.2450631856918335,False,,2021-10-01 04:35:13+00:00
1,1,1,2021-10-01T04:35:13Z,Account-123456789,robinson.com,GetOpenIDConnectProvider,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1984-11-26,f06b2a57-d0a2-4e8b-a678-3908ae9a692c,arn:aws:f5a2c0ff-40ff-4911-91b5-51205b470996,AHOKLKM5D7E8FBYIZG7W,role-g,success,,2.253037691116333,False,,2021-10-01 04:35:13+00:00
2,2,2,2021-10-01T04:35:14Z,Account-123456789,robinson.com,ListTagsForResource,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1984-11-26,bb0bcebe-aafc-4c8a-8bd4-01c683d62ad8,arn:aws:d3098edc-64d7-41d3-9b2c-41e531908b62,AQA8FL0BJ3BV7WWGFT5Z,role-g,success,,1.8689513206481934,False,,2021-10-01 04:35:14+00:00
3,3,3,2021-10-01T04:35:14Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,c0049ec4-822c-4746-a7e3-0bbcbf91e6b2,arn:aws:813e7db3-9e16-49fb-8902-c7503590c6b0,A2CC5RDMYCD9ILYZZLML,role-g,success,,1.3193423748016357,False,,2021-10-01 04:35:14+00:00
4,4,4,2021-10-01T04:35:30Z,Account-123456789,lopez-byrd.info,CreateHostedZone,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,7f6bb5da-6971-4fd7-94f6-2f2378b4827e,arn:aws:42d77582-18ab-40ff-b84f-958628025aba,,role-g,success,,1.219811201095581,False,,2021-10-01 04:35:30+00:00
5,5,5,2021-10-01T04:35:30Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,58ccf35a-4b86-4776-8877-6f20c47beb8c,arn:aws:7bd619b9-6f4c-4350-9a2e-d80f315fc178,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:35:30+00:00
6,6,6,2021-10-01T04:35:31Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1990-05-27,78e08e86-ac98-4dc7-a71a-e554a92ec57a,arn:aws:00cbfc39-2959-4275-968c-80b61ea5a098,AF8GKGTIEC5W6YKGTEBD,role-g,success,,1.4861570596694946,False,,2021-10-01 04:35:31+00:00
7,7,7,2021-10-01T04:35:31Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,e1a4c9ac-18fa-4c23-a87b-d1e58326b871,arn:aws:c966cb1d-1d54-4f71-9d2e-40595169f1fc,AFVIQ4BH72UEOAXGUDVO,role-g,success,,1.3193423748016357,False,,2021-10-01 04:35:31+00:00
8,8,8,2021-10-01T04:35:32Z,Account-123456789,anderson.net,GetHostedZoneCount,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1970-07-15,554454f9-43bf-4611-b6d5-ce7e0f9f7103,arn:aws:60a3c755-36aa-43ff-bc41-16c62f85290a,A8THFIUCD8S57QOOFFUM,role-g,success,,2.1517419815063477,False,,2021-10-01 04:35:32+00:00
9,9,9,2021-10-01T04:35:32Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,05db7327-b69e-4d1b-87f6-665ef0dbd785,arn:aws:f06ccc8f-1ff2-4810-b4bc-aa844ee4cb82,,role-g,success,,1.2766988277435303,False,,2021-10-01 04:35:32+00:00
